"iata","lon","lat","iso","name","continent","type","size","timezone","icao","city","country"
"AZS","169.86667","11.233333","MH","Samaná El Catey International Airport","OC","airport","small","-4","MDCY","Samana","Dominican Republic"
"SLX","169.86667","11.233333","MH","Salt Cay Airport","OC","airport","small","-5","MBSY","Salt Cay","Turks and Caicos Islands"
"MDS","169.86667","11.233333","MH","Middle Caicos Airport","OC","airport","small","-5","MBMC","Middle Caicos","Turks and Caicos Islands"
"GDT","169.86667","11.233333","MH","JAGS McCartney International Airport","OC","airport","small","-5","MBGT","Cockburn Town","Turks and Caicos Islands"
"ILZ","169.86667","11.233333","MH","Žilina Airport","OC","airport","small","1","LZZI","Žilina","Slovakia"
"QUB","169.86667","11.233333","MH","Ubari Airport","OC","airport","small","1","","Ubari","Libya"
"MRA","169.86667","11.233333","MH","Misratah Airport","OC","airport","small","1","","Misratah","Libya"
"SZF","169.86667","11.233333","MH","Samsun-Çarşamba Airport","OC","airport","small","2","LTFH","Samsun","Turkey"
"EDO","169.86667","11.233333","MH","Balikesir Korfez Airport","OC","airport","small","2","LTFD","Balikesir Korfez","Turkey"
"ISE","169.86667","11.233333","MH","Isparta Süleyman Demirel Airport","OC","airport","small","2","LTFC","Isparta","Turkey"
"ADF","169.86667","11.233333","MH","Adiyaman Airport","OC","airport","small","2","LTCP","Adiyaman","Turkey"
"AJI","169.86667","11.233333","MH","Agri Airport","OC","airport","small","2","LTCO","Agri","Turkey"
"KCM","169.86667","11.233333","MH","Kahramanmaras Airport","OC","airport","small","2","LTCN","Kahramanmaras","Turkey"
"SFQ","169.86667","11.233333","MH","Sanliurfa Airport","OC","airport","small","2","LTCH","Sanliurfa","Turkey"
"KSY","169.86667","11.233333","MH","Kars Airport","OC","airport","small","2","LTCF","Kars","Turkey"
"USQ","169.86667","11.233333","MH","Usak Airport","OC","airport","small","2","LTBO","Usak","Turkey"
"BNX","169.86667","11.233333","MH","Banja Luka International Airport","OC","airport","small","1","LQBK","Banja Luka","Bosnia and Herzegovina"
"CVU","169.86667","11.233333","MH","Corvo Airport","OC","airport","small","-1","LPCR","Corvo","Portugal"
"QSR","169.86667","11.233333","MH","Salerno Pontecagnano Airport","OC","airport","small","1","LIRI","Salerno","Italy"
"AOT","169.86667","11.233333","MH","Aosta Airport","OC","airport","small","1","LIMW","Aosta","Italy"
"SOB","169.86667","11.233333","MH","Sármellék International Airport","OC","airport","small","1","LHSM","Sármellék","Hungary"
"QGY","169.86667","11.233333","MH","Győr-Pér International Airport","OC","airport","small","1","LHPR","Győr","Hungary"
"PEV","169.86667","11.233333","MH","Pécs-Pogány Airport","OC","airport","small","1","LHPP","Pécs-Pogány","Hungary"
"JSY","169.86667","11.233333","MH","Syros Airport","OC","airport","small","2","LGSO","Syros Island","Greece"
"LTT","169.86667","11.233333","MH","La Môle Airport","OC","airport","small","1","LFTZ","La Môle","France"
"EAP","169.86667","11.233333","MH","EuroAirport","OC","airport","small","1","\\N","Mulhouse","France"
"ANE","169.86667","11.233333","MH","Angers-Loire Airport","OC","airport","small","1","LFJR","Angers/Marcé","France"
"IDY","169.86667","11.233333","MH","Île d'Yeu Airport","OC","airport","small","0","LFEY","Île d'Yeu","France"
"RJL","169.86667","11.233333","MH","Logroño-Agoncillo Airport","OC","airport","small","1","LELO","Logroño-Agoncillo","Spain"
"ECN","169.86667","11.233333","MH","Ercan International Airport","OC","airport","small","2","LCEN","Nicosia","Cyprus"
"YKM","169.86667","11.233333","MH","Yakima Air Terminal McAllister Field","OC","airport","small","-8","KYKM","Yakima","United States"
"KWY","169.86667","11.233333","MH","Kiwayu (Mkononi) Airport","OC","airport","small","3","","Kiwayu","Kenya"
"WRL","169.86667","11.233333","MH","Worland Municipal Airport","OC","airport","small","-7","KWRL","Worland","United States"
"VLD","169.86667","11.233333","MH","Valdosta Regional Airport","OC","airport","small","-5","KVLD","Valdosta","United States"
"VCT","169.86667","11.233333","MH","Victoria Regional Airport","OC","airport","small","-6","KVCT","Victoria","United States"
"UIN","169.86667","11.233333","MH","Quincy Regional Baldwin Field","OC","airport","small","-6","KUIN","Quincy","United States"
"TUP","169.86667","11.233333","MH","Tupelo Regional Airport","OC","airport","small","-6","KTUP","Tupelo","United States"
"SMX","169.86667","11.233333","MH","Santa Maria Pub Cpt G Allan Hancock Airport","OC","airport","small","-8","KSMX","Santa Maria","United States"
"SLN","169.86667","11.233333","MH","Salina Municipal Airport","OC","airport","small","-6","KSLN","Salina","United States"
"SLK","169.86667","11.233333","MH","Adirondack Regional Airport","OC","airport","small","-5","KSLK","Saranac Lake","United States"
"SHR","169.86667","11.233333","MH","Sheridan County Airport","OC","airport","small","-7","KSHR","Sheridan","United States"
"SBP","169.86667","11.233333","MH","San Luis County Regional Airport","OC","airport","small","-8","KSBP","San Luis Obispo","United States"
"RUT","169.86667","11.233333","MH","Rutland State Airport","OC","airport","small","-5","KRUT","Rutland","United States"
"RKS","169.86667","11.233333","MH","Rock Springs Sweetwater County Airport","OC","airport","small","-7","KRKS","Rock Springs","United States"
"RHI","169.86667","11.233333","MH","Rhinelander Oneida County Airport","OC","airport","small","-6","KRHI","Rhinelander","United States"
"RDG","169.86667","11.233333","MH","Reading Regional Carl A Spaatz Field","OC","airport","small","-5","KRDG","Reading","United States"
"PSM","169.86667","11.233333","MH","Pease International Tradeport","OC","airport","small","-5","KPSM","Portsmouth","United States"
"PLN","169.86667","11.233333","MH","Pellston Regional Airport of Emmet County Airport","OC","airport","small","-5","KPLN","Pellston","United States"
"PIR","169.86667","11.233333","MH","Pierre Regional Airport","OC","airport","small","-6","KPIR","Pierre","United States"
"PIH","169.86667","11.233333","MH","Pocatello Regional Airport","OC","airport","small","-7","KPIH","Pocatello","United States"
"PIB","169.86667","11.233333","MH","Hattiesburg Laurel Regional Airport","OC","airport","small","-6","KPIB","Hattiesburg/Laurel","United States"
"OWB","169.86667","11.233333","MH","Owensboro Daviess County Airport","OC","airport","small","-6","KOWB","Owensboro","United States"
"OTH","169.86667","11.233333","MH","Southwest Oregon Regional Airport","OC","airport","small","-8","KOTH","North Bend","United States"
"MSL","169.86667","11.233333","MH","Northwest Alabama Regional Airport","OC","airport","small","-6","KMSL","Muscle Shoals","United States"
"MLS","169.86667","11.233333","MH","Frank Wiley Field","OC","airport","small","-7","KMLS","Miles City","United States"
"MKG","169.86667","11.233333","MH","Muskegon County Airport","OC","airport","small","-5","KMKG","Muskegon","United States"
"LYH","169.86667","11.233333","MH","Lynchburg Regional Preston Glenn Field","OC","airport","small","-5","KLYH","Lynchburg","United States"
"LWT","169.86667","11.233333","MH","Lewistown Municipal Airport","OC","airport","small","-7","KLWT","Lewistown","United States"
"LNS","169.86667","11.233333","MH","Lancaster Airport","OC","airport","small","-5","KLNS","Lancaster","United States"
